hrs1,sex,racecen1,mntlhlth,depress,wrkstat
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
60,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
35,FEMALE,WHITE,10,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
30,FEMALE,.n:  No answer,0,No,Working part time
.i:  Inapplicable,MALE,CHINESE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
70,FEMALE,WHITE,5,Yes,Working full time
.d:  Do not Know/Cannot Choose,MALE,HISPANIC,0,No,Working part time
15,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,2,No,Working full time
57,MALE,HISPANIC,0,No,Working full time
40,MALE,HISPANIC,0,No,Working full time
45,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
39,FEMALE,BLACK OR AFRICAN AMERICAN,2,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
55,FEMALE,WHITE,2,No,Working full time
40,FEMALE,WHITE,3,No,Working full time
36,FEMALE,KOREAN,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
42,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
45,FEMALE,BLACK OR AFRICAN AMERICAN,.n:  No answer,.n:  No answer,Working full time
45,MALE,BLACK OR AFRICAN AMERICAN,.n:  No answer,.n:  No answer,Working full time
60,FEMALE,HISPANIC,2,No,Working full time
.s:  Skipped on Web,MALE,SOME OTHER RACE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,3,Yes,Working full time
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
7,FEMALE,.i:  Inapplicable,20,Yes,Working full time
40,MALE,ASIAN INDIAN,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
35,MALE,SOME OTHER RACE,15,Yes,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
44,FEMALE,WHITE,5,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
55,FEMALE,WHITE,0,No,Working full time
30,FEMALE,WHITE,0,No,Working full time
70,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,Yes,Working full time
40,FEMALE,WHITE,3,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,FEMALE,WHITE,0,No,Working full time
70,FEMALE,HISPANIC,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,10,Yes,Working full time
20,FEMALE,WHITE,4,No,Working part time
20,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
45,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
45,MALE,HISPANIC,2,No,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Working full time
45,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Working full time
65,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,2,No,Working full time
30,FEMALE,WHITE,10,Yes,Working part time
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
45,FEMALE,CHINESE,4,No,Working full time
20,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,KOREAN,.i:  Inapplicable,.i:  Inapplicable,Retired
75,FEMALE,CHINESE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Working full time
40,FEMALE,WHITE,5,Yes,Working full time
60,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
45,FEMALE,WHITE,7,No,Working full time
0,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,JAPANESE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,VIETNAMESE,5,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
14,FEMALE,WHITE,1,No,Working part time
59,MALE,WHITE,0,No,Working full time
48,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,20,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
40,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,5,No,"With a job, but not at work because of temporary illness, vacation, strike"
35,MALE,WHITE,30,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
89+ hrs,FEMALE,.d:  Do not Know/Cannot Choose,3,Yes,Working full time
40,FEMALE,CHINESE,3,No,Working full time
45,FEMALE,WHITE,8,Yes,Working full time
40,MALE,WHITE,0,No,Working full time
60,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
81,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
84,FEMALE,WHITE,20,Yes,Working full time
40,MALE,HISPANIC,0,Yes,Working full time
10,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,OTHER ASIAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,OTHER ASIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
55,FEMALE,WHITE,30,Yes,Working full time
25,MALE,WHITE,11,Yes,Working part time
30,MALE,HISPANIC,0,No,Working part time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,0,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
40,FEMALE,BLACK OR AFRICAN AMERICAN,30,Yes,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
26,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,In school
40,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
24,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
43,MALE,WHITE,5,Yes,Working full time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
0,MALE,SOME OTHER RACE,0,No,Working full time
28,FEMALE,WHITE,14,Yes,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,Yes,Working full time
25,MALE,SOME OTHER RACE,0,No,Working part time
22,FEMALE,WHITE,0,No,Working full time
60,FEMALE,WHITE,20,Yes,Working full time
.i:  Inapplicable,MALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,In school
55,MALE,WHITE,3,Yes,Working full time
10,MALE,WHITE,1,No,Working part time
15,FEMALE,WHITE,0,No,Working part time
40,FEMALE,WHITE,0,No,Working full time
40,MALE,WHITE,4,Yes,Working full time
20,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
55,FEMALE,WHITE,30,No,Working full time
50,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
50,FEMALE,VIETNAMESE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,JAPANESE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
50,MALE,WHITE,1,No,Working full time
40,FEMALE,WHITE,12,No,Working full time
38,FEMALE,WHITE,2,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
80,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
45,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,ASIAN INDIAN,2,No,Working full time
40,FEMALE,KOREAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,FILIPINO,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
32,.s:  Skipped on Web,WHITE,-97,No,Working part time
18,FEMALE,WHITE,12,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,JAPANESE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
25,FEMALE,WHITE,30,Yes,Working part time
48,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
44,MALE,WHITE,0,No,Working full time
30,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,ASIAN INDIAN,0,No,Working full time
.i:  Inapplicable,MALE,OTHER ASIAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,MALE,.i:  Inapplicable,0,No,Working full time
30,MALE,FILIPINO,15,No,Working part time
0,MALE,WHITE,2,Yes,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
60,MALE,WHITE,.d:  Do not Know/Cannot Choose,No,Working full time
60,FEMALE,HISPANIC,-97,.s:  Skipped on Web,Working full time
50,FEMALE,WHITE,15,Yes,Working full time
.i:  Inapplicable,.n:  No answer,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
72,FEMALE,HISPANIC,0,No,Working full time
40,MALE,FILIPINO,10,Yes,Working full time
.i:  Inapplicable,MALE,HISPANIC,15,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
45,MALE,WHITE,0,No,Working full time
40,FEMALE,HISPANIC,7,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,5,No,Working full time
40,MALE,SOME OTHER RACE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
32,FEMALE,SOME OTHER RACE,15,Yes,Working full time
40,FEMALE,WHITE,-97,No,Working full time
40,MALE,HISPANIC,5,No,Working full time
1,MALE,WHITE,12,Yes,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
84,FEMALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,HISPANIC,0,No,Working full time
40,MALE,WHITE,15,No,Working full time
0,FEMALE,HISPANIC,25,Yes,Working part time
30,MALE,WHITE,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,4,No,Working full time
20,MALE,WHITE,0,No,Working part time
42,FEMALE,WHITE,10,No,Working full time
60,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,2,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
55,FEMALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,20,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
